car,model,year,price,region,Mileage,Body Style,Engine,Gearbox,Hand Drive,Color,Condition,link,Engine Volume,Horsepower,Engine Cylinders,Drive train,Battery capacity in kW,Number of electric motors,Range
BMW,iX3 ,2022,90700.0,Armenia,200.0,SUV / Truck,Electric,Automatic,Left,Black,Excellent,https://auto.am/offer/2847281,3.0,340,6,AWD 4x4,80.0,2.0,420.0
Mercedes-Benz,EQS ,2022,90000.0,"Armenia, Yerevan",6000.0,Hatchback,Electric,Automatic,Left,Black,New,https://auto.am/offer/2985239,3.5,288,8,RWD,100.0,2.0,700.0
Honda,e:NS1 ,2023,24750.0,Armenia,20.0,SUV / Truck,Electric,Automatic,Left,White,New,https://auto.am/offer/3015152,1.5,204,4,FWD,68.0,1.0,510.0
Aiqar,eQ3 ,2024,24750.0,"Armenia, Yerevan",10.0,Wagon,Electric,Automatic,Left,Silver,New,https://auto.am/offer/3006110,2.5,184,4,AWD 4x4,67.0,1.0,401.0
Neta,X ,2024,24750.0,Armenia,10.0,Wagon,Electric,Automatic,Left,Black,New,https://auto.am/offer/3039876,2.5,163,4,FWD,68.0,1.0,501.0
Ford,Focus ,2013,9800.0,"Armenia, Yerevan",142400.0,Hatchback,Electric,Automatic,Left,Black,Good,https://auto.am/offer/3026567,2.5,176,4,FWD,23.0,1.0,120.0
Chevrolet,Volt ,2014,9800.0,"Armenia, Yerevan",208000.0,Sedan,Electric,Automatic,Left,Sky-blue,Excellent,https://auto.am/offer/3036867,1.4,149,4,FWD,60.0,4.0,100.0
Chevrolet,Volt ,2013,9700.0,"Armenia, Yerevan",176000.0,Hatchback,Electric,Automatic,Left,White,Excellent,https://auto.am/offer/3034536,1.4,149,4,FWD,149.0,2.0,70.0
Honda,M-NV ,2023,23750.0,"Armenia, Yerevan",20.0,SUV / Truck,Electric,Automatic,Left,White,New,https://auto.am/offer/3015166,1.5,218,4,FWD,61.0,1.0,505.0
Chevrolet,Volt ,2013,9500.0,"Armenia, Yerevan",144000.0,Sedan,Electric,Automatic,Left,Black,Excellent,https://auto.am/offer/3020002,1.4,149,4,FWD,100.0,4.0,70.0
Chevrolet,Volt ,2014,9500.0,"Armenia, Yerevan",192.0,Hatchback,Electric,Automatic,Left,Beige,Good,https://auto.am/offer/2994911,1.4,149,4,FWD,12.0,1.0,75.0
Fiat,500,2018,9500.0,"Armenia, Yerevan",64000.0,Coupe,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/3031746,1.4,160,4,RWD,24.0,1.0,130.0
Chevrolet,Volt ,2015,9400.0,"Armenia, Yerevan",76033.6,Hatchback,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/2991422,1.4,149,4,FWD,17.0,1.0,50.0
Chevrolet,Volt ,2012,9250.0,"Armenia, Ararat",98000.0,Sedan,Electric,Automatic,Left,White,Excellent,https://auto.am/offer/2682337,2.4,149,4,FWD,5.0,1.0,65.0
Chevrolet,Volt ,2014,9100.0,Armenia,204800.0,Sedan,Electric,Automatic,Left,White,Excellent,https://auto.am/offer/2965283,1.4,149,4,FWD,12.0,1.0,75.0
Nissan,Leaf ,2017,9000.0,"Armenia, Yerevan",101000.0,Hatchback,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/3038462,2.5,145,4,AWD 4x4,30.0,2.0,200.0
Chevrolet,Volt ,2013,9000.0,"Armenia, Yerevan",208000.0,Sedan,Electric,Automatic,Left,Red,Excellent,https://auto.am/offer/3033089,1.4,150,4,FWD,58.0,4.0,90.0
Nissan,Leaf ,2016,9000.0,"Armenia, Yerevan",60000.0,Hatchback,Electric,Automatic,Left,Silver,Excellent,https://auto.am/offer/3039172,1.6,188,4,FWD,32.0,1.0,100.0
Audi,Q4 ,2022,89700.0,Armenia,13000.0,SUV / Truck,Electric,Automatic,Left,White,Excellent,https://auto.am/offer/2842487,3.0,225,4,AWD 4x4,84.0,2.0,500.0
Mercedes-Benz,EQE ,2023,89200.0,Armenia,3000.0,SUV / Truck,Electric,Automatic,Left,Black,sell.condition-values.,https://auto.am/offer/3026334,2.5,288,4,AWD 4x4,96.0,2.0,600.0
Mercedes-Benz,EQE ,2023,87500.0,"Armenia, Yerevan",3800.0,SUV / Truck,Electric,Automatic,Left,Black,New,https://auto.am/offer/3026673,2.5,292,4,AWD 4x4,100.0,2.0,600.0
Mercedes-Benz,EQE ,2023,87000.0,"Armenia, Yerevan",2000.0,SUV / Truck,Electric,Automatic,Left,Gray,New,https://auto.am/offer/2994476,2.5,288,4,AWD 4x4,96.0,2.0,609.0
Mercedes-Benz,EQE ,2023,86000.0,"Armenia, Yerevan",10.0,SUV / Truck,Electric,Automatic,Left,Gray,sell.condition-values.,https://auto.am/offer/2991470,2.5,288,4,AWD 4x4,156.0,2.0,610.0
Porsche,Taycan ,2022,85000.0,Armenia,32000.0,Sedan,Electric,Automatic,Left,White,Excellent,https://auto.am/offer/2991867,2.5,200,4,AWD 4x4,79.0,2.0,500.0
Tesla,Model S ,2023,85000.0,"Armenia, Yerevan",7001.0,Hatchback,Electric,Automatic,Left,Black,New,https://auto.am/offer/3037581,2.5,670,4,AWD 4x4,100.0,2.0,630.0
Mercedes-Benz,EQS ,2021,85000.0,Armenia,30000.0,Hatchback,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/2985996,4.0,408,6,AWD 4x4,100.0,1.0,700.0
Mercedes-Benz,EQE ,2023,84000.0,"Armenia, Yerevan",100.0,Wagon,Electric,Automatic,Left,Black,sell.condition-values.,https://auto.am/offer/3037003,2.5,288,4,AWD 4x4,96.0,2.0,600.0
Mercedes-Benz,EQB ,2022,82000.0,Armenia,9000.0,SUV / Truck,Electric,Automatic,Left,Gray,Excellent,https://auto.am/offer/2854745,4.0,408,8,AWD 4x4,80.0,2.0,431.0
