car,model,year,price,region,Mileage,Body Style,Engine,Gearbox,Hand Drive,Color,Condition,link,Engine Volume,Horsepower,Engine Cylinders,Drive train
Land Rover,Range Rover Sport ,2020,99500.0,"Armenia, Yerevan",29000.0,SUV / Truck,Gasoline,Semi-automatic,Left,Black,Excellent,https://auto.am/offer/3000780,3.0,365,6,AWD 4x4
Lexus,LX 570 ,2019,99500.0,"Armenia, Yerevan",65000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/2965999,3.5,294,5,AWD 4x4
BMW,740,2021,99000.0,"Armenia, Yerevan",52000.0,Sedan,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3037520,3.0,340,6,AWD 4x4
Mercedes-Benz,S 450 ,2019,98700.0,Armenia,30000.0,Sedan,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/2994969,3.0,367,6,AWD 4x4
Lexus,GX 460 ,2023,98000.0,Armenia,4000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/2869416,2.5,290,8,AWD 4x4
BMW,X6 ,2022,98000.0,"Armenia, Yerevan",10400.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3021936,3.0,340,6,AWD 4x4
Toyota,Land Cruiser 300 ,2021,98000.0,"Armenia, Yerevan",23000.0,SUV / Truck,Gasoline,Automatic,Left,Black,New,https://auto.am/offer/3030139,2.5,203,4,AWD 4x4
Lexus,LX 570 ,2017,98000.0,Armenia,64000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/2995569,5.7,295,8,AWD 4x4
VAZ (Lada),2107,2004,2425.0,"Armenia, Yerevan",220000.0,Sedan,Gasoline,Manual,Left,White,Excellent,https://auto.am/offer/2987880,2.5,200,4,RWD
Porsche,Macan ,2023,97600.0,Armenia,60.0,SUV / Truck,Gasoline,Automatic,Left,Blue,Excellent,https://auto.am/offer/2908131,2.5,200,4,AWD 4x4
Jeep,Grand Cherokee ,2023,97500.0,"Armenia, Yerevan",10.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/2789825,3.6,293,6,AWD 4x4
Mercedes-Benz,G 63 AMG ,2016,97000.0,Armenia,86000.0,Sedan,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/2989061,6.3,544,4,AWD 4x4
Toyota,Land Cruiser 200 ,2020,96700.0,Armenia,8000.0,SUV / Truck,Gasoline,Automatic,Left,Black,Excellent,https://auto.am/offer/3014622,5.15,309,8,AWD 4x4
Jeep,Grand Cherokee ,2021,96700.0,Armenia,33000.0,SUV / Truck,Gasoline,Automatic,Left,White,Excellent,https://auto.am/offer/2977863,3.6,286,6,AWD 4x4
